timestamp,VIBRATION.time_usec,VIBRATION.vibration_x,VIBRATION.vibration_y,VIBRATION.vibration_z,VIBRATION.clipping_0,VIBRATION.clipping_1,VIBRATION.clipping_2
1437195928.15361595,103658292,0.03247526288032532,0.034360989928245544,0.0438782162964344,0,0,0
1437195928.45711994,104380609,0.03049340657889843,0.030484672635793686,0.04290952533483505,0,0,0
1437195928.80645585,105224466,0.031088178977370262,0.029130056500434875,0.043629083782434464,0,0,0
1437195929.11641598,106187465,0.03320558741688728,0.03706895187497139,0.057596150785684586,0,0,0
1437195929.81202793,107192051,0.029029780998826027,0.030258744955062866,0.038739223033189774,0,0,0
1437195930.70519590,108116423,0.03309251368045807,0.028681088238954544,0.04080059379339218,0,0,0
1437195931.61605597,108960699,0.03387977555394173,0.030838200822472572,0.04815171658992767,0,0,0
1437195932.41502404,109724582,0.03313438594341278,0.030298901721835136,0.03818782418966293,0,0,0
1437195933.18918800,110487413,0.032089561223983765,0.03472241014242172,0.0355672761797905,0,0,0
1437195933.88741994,111250652,0.04573357477784157,0.05070960894227028,0.08311063051223755,0,0,0
1437195934.44867587,111933804,0.03500794619321823,0.03232701122760773,0.04213820397853851,0,0,0
1437195935.13197994,112535406,0.031775206327438354,0.029564639553427696,0.04132433980703354,0,0,0
1437195935.74731588,113137746,0.029855597764253616,0.032157786190509796,0.04267400875687599,0,0,0
1437195936.19542384,113660551,0.04457193613052368,0.0536222867667675,0.09914620220661163,0,0,0
1437195936.78067589,114182306,0.03257947042584419,0.033470503985881805,0.041317667812108994,0,0,0
1437195937.22888398,114626276,0.029298042878508568,0.03089778497815132,0.04006091505289078,0,0,0
1437195937.63105202,115068187,0.03449432924389839,0.029470529407262802,0.04341656342148781,0,0,0
1437195938.16409183,115469646,0.0316651426255703,0.02992507629096508,0.04496782645583153,0,0,0
1437195938.48438787,115871750,0.030030129477381706,0.029310351237654686,0.04168964549899101,0,0,0
1437195938.77836800,116274274,0.04065705090761185,0.052793703973293304,0.10666906088590622,0,0,0
1437195939.26256800,116636251,0.03390570729970932,0.037654634565114975,0.061581939458847046,0,0,0
1437195939.71188784,116998302,0.0324273556470871,0.03220798447728157,0.04045289382338524,0,0,0
1437195940.03087997,117360040,0.032452505081892014,0.03236972913146019,0.03429144248366356,0,0,0
1437195940.25332403,117721334,0.031319759786129,0.030319299548864365,0.03863004222512245,0,0,0
1437195940.71115994,118083252,0.030145084485411644,0.027629313990473747,0.03592676296830177,0,0,0
1437195940.99120784,118405203,0.03369360789656639,0.030836518853902817,0.039159007370471954,0,0,0
1437195941.44267201,118726474,0.036941010504961014,0.04119278863072395,0.08590952306985855,0,0,0
1437195941.84469199,119048307,0.041176870465278625,0.04885884001851082,0.06684567779302597,0,0,0
1437195942.33788395,119369159,0.031329285353422165,0.030262740328907967,0.04386826977133751,0,0,0
1437195942.75504804,119690872,0.031541723757982254,0.032523591071367264,0.04196983948349953,0,0,0
1437195943.18626404,120011772,0.03264772519469261,0.03187163546681404,0.04101390764117241,0,0,0
1437195943.50732398,120333217,0.03188621252775192,0.03173768147826195,0.04285065829753876,0,0,0
1437195943.96741986,120655289,0.03068162500858307,0.03239228576421738,0.0413658544421196,0,0,0
1437195944.20180392,121016896,0.03376372531056404,0.026194751262664795,0.03780455142259598,0,0,0
1437195944.54273987,121378156,0.03600373864173889,0.03854672238230705,0.07836472988128662,0,0,0
1437195944.91705203,121739352,0.03960847482085228,0.0506938174366951,0.07698077708482742,0,0,0
1437195945.16005182,122141719,0.029770493507385254,0.031165873631834984,0.043521661311388016,0,0,0
1437195945.40509987,122543893,0.032328493893146515,0.03263621777296066,0.03786613047122955,0,0,0
1437195945.64038801,122947134,0.03037850931286812,0.030372871086001396,0.03547118231654167,0,0,0
1437195946.03565192,123388248,0.03356173634529114,0.029565569013357162,0.04113007336854935,0,0,0
1437195946.35051584,123830348,0.03032887540757656,0.028742779046297073,0.04082212224602699,0,0,0
1437195946.76567197,124231917,0.0447162389755249,0.059456292539834976,0.09079665690660477,0,0,0
1437195947.18381596,124633028,0.032252002507448196,0.034155797213315964,0.04499091953039169,0,0,0
1437195947.67830801,125035758,0.03151891380548477,0.03219250589609146,0.04482481628656387,0,0,0
1437195948.10210800,125397439,0.028848914429545403,0.0317264162003994,0.04095939174294472,0,0,0
1437195948.68557191,125758029,0.03201790526509285,0.03205188363790512,0.037719834595918655,0,0,0
1437195949.13171983,126119621,0.03317028284072876,0.03032046929001808,0.04488668218255043,0,0,0
1437195949.36685586,126480772,0.03447479009628296,0.032921791076660156,0.05243103578686714,0,0,0
1437195949.61279202,126841914,0.042280010879039764,0.045811839401721954,0.08628696948289871,0,0,0
1437195949.96331191,127205033,0.03291426971554756,0.03231717273592949,0.04494807869195938,0,0,0
1437195950.19328785,127566564,0.03122641332447529,0.03380647674202919,0.03933767229318619,0,0,0
1437195950.61947989,127928085,0.03407549858093262,0.03038029372692108,0.03705272451043129,0,0,0
1437195951.03353190,128289261,0.03189852833747864,0.029731620103120804,0.04002635180950165,0,0,0
1437195951.45061588,128610509,0.0310544203966856,0.030782397836446762,0.042377080768346786,0,0,0
1437195951.82476401,128931913,0.03084590658545494,0.0306894201785326,0.039938922971487045,0,0,0
1437195952.08751202,129253658,0.038941774517297745,0.05515313148498535,0.11521676182746887,0,0,0
1437195952.48553205,129575599,0.0419292114675045,0.05201636254787445,0.09929404407739639,0,0,0
1437195952.75827193,129897616,0.031254108995199203,0.030654963105916977,0.04175993427634239,0,0,0
1437195953.02429199,130218945,0.02915911190211773,0.03199310228228569,0.03977760672569275,0,0,0
1437195953.34444404,130540325,0.03339219465851784,0.03038303181529045,0.04301191866397858,0,0,0
1437195953.68997598,130861572,0.03280620276927948,0.029937516897916794,0.03885190561413765,0,0,0
1437195953.92775583,131183175,0.028783690184354782,0.027190912514925003,0.03746820613741875,0,0,0
1437195954.33994794,131505728,0.03232508525252342,0.03323739022016525,0.03842982277274132,0,0,0
1437195954.58201194,131827388,0.039213214069604874,0.04021209850907326,0.07776221632957458,0,0,0
1437195954.93215585,132148697,0.0432758592069149,0.04271385073661804,0.07424360513687134,0,0,0
1437195955.17513990,132469755,0.033903755247592926,0.03180896118283272,0.04280226677656174,0,0,0
1437195955.59257197,132791285,0.034682925790548325,0.03139251470565796,0.041798025369644165,0,0,0
1437195955.96759200,133113651,0.03085673227906227,0.027290409430861473,0.04048831760883331,0,0,0
1437195956.20675588,133435292,0.03112201765179634,0.02941308729350567,0.03724423050880432,0,0,0
1437195956.44346786,133756061,0.03167860954999924,0.029775597155094147,0.04120901972055435,0,0,0
1437195956.79707599,134077386,0.0337270051240921,0.03100111521780491,0.04456591606140137,0,0,0
1437195957.06002784,134398296,0.03507111221551895,0.03952156379818916,0.08849169313907623,0,0,0
1437195957.38513184,134719767,0.04261551797389984,0.04381340742111206,0.07268998771905899,0,0,0
1437195957.79442000,135041371,0.033146582543849945,0.031691499054431915,0.04969260096549988,0,0,0
1437195958.20255589,135362799,0.03039359487593174,0.02904442511498928,0.03679103031754494,0,0,0
1437195958.52269602,135684800,0.03382471203804016,0.03195849433541298,0.043353643268346786,0,0,0
1437195958.87279201,136006567,0.03327292203903198,0.030864078551530838,0.04394323378801346,0,0,0
1437195959.21199203,136328002,0.03170465677976608,0.02696257084608078,0.03968805819749832,0,0,0
1437195959.52006793,136649825,0.03473290055990219,0.03149459883570671,0.03940635547041893,0,0,0
1437195959.76221585,136972210,0.040403105318546295,0.03692905977368355,0.07767724245786667,0,0,0
