timestamp,SCALED_IMU2.time_boot_ms,SCALED_IMU2.xacc,SCALED_IMU2.yacc,SCALED_IMU2.zacc,SCALED_IMU2.xgyro,SCALED_IMU2.ygyro,SCALED_IMU2.zgyro,SCALED_IMU2.xmag,SCALED_IMU2.ymag,SCALED_IMU2.zmag,SCALED_IMU2.temperature
1437195961.28278804,138579,35,1,-998,12,-12,4,116,228,-548,0
1437195961.66808391,138902,46,-4,-993,17,-15,7,116,229,-546,0
1437195961.92921996,139223,34,-6,-995,13,-18,9,117,226,-550,0
1437195962.18013597,139545,31,0,-997,10,-11,4,115,230,-547,0
1437195962.62736797,139906,45,-6,-999,16,-24,11,115,231,-546,0
1437195962.84660792,140268,32,-7,-1005,10,-12,4,117,226,-545,0
1437195963.25967193,140630,39,-3,-987,16,-10,2,116,226,-547,0
1437195963.48971987,140992,31,-4,-976,12,-13,4,117,228,-549,0
1437195963.89592791,141354,37,1,-1000,14,-15,5,116,229,-542,0
1437195964.31801605,141715,29,-7,-986,14,-20,5,116,228,-549,0
1437195964.70164800,142078,31,-1,-994,19,-22,10,117,227,-545,0
1437195964.88434386,142439,32,6,-1004,14,-17,4,116,229,-548,0
1437195965.22742391,142801,30,1,-998,16,-14,8,116,228,-546,0
1437195965.55824804,143163,35,-12,-986,14,-11,2,117,225,-543,0
1437195965.90791202,143524,39,-7,-994,15,-9,4,117,230,-548,0
1437195966.38899589,143886,37,-7,-1002,10,-15,7,115,229,-546,0
1437195966.79507995,144248,38,-11,-994,22,-12,12,118,227,-546,0
1437195967.14831185,144610,31,-15,-997,13,-14,8,117,226,-544,0
1437195967.56155992,144972,43,-3,-991,14,-15,12,117,228,-549,0
1437195967.90669203,145334,31,0,-979,12,-13,0,116,225,-545,0
1437195968.14872003,145696,35,-6,-999,15,-15,5,117,227,-544,0
1437195968.44368005,146057,32,-19,-997,12,-12,10,116,227,-548,0
1437195968.80589986,146419,41,-6,-999,12,-17,4,116,230,-545,0
1437195969.23105597,146781,40,6,-994,13,-19,5,115,230,-545,0
1437195969.49426794,147143,34,-3,-997,14,-15,8,117,229,-550,0
1437195969.84035587,147506,44,-11,-997,11,-15,9,115,232,-547,0
1437195970.26857591,147867,40,-2,-1005,15,-12,6,116,229,-546,0
1437195970.52709603,148229,39,-8,-991,12,-18,2,117,227,-548,0
1437195970.93583202,148570,32,-4,-1003,18,-17,8,115,228,-542,0
1437195971.34378004,148892,37,-9,-994,18,-8,4,116,229,-542,0
1437195971.54218388,149214,39,-2,-994,14,-13,10,117,227,-548,0
1437195971.91225982,149536,38,5,-1003,13,-13,3,116,228,-541,0
1437195972.26235986,149857,38,-14,-993,16,-19,5,116,228,-540,0
1437195972.63860393,150178,43,-10,-992,13,-16,3,116,231,-551,0
1437195972.88769197,150500,41,-13,-994,16,-13,2,114,228,-542,0
1437195973.19823599,150821,39,0,-995,15,-20,3,116,229,-545,0
1437195973.46892786,151143,42,-4,-998,17,-5,5,116,229,-548,0
1437195973.81107593,151465,40,0,-1003,18,-14,9,115,230,-546,0
1437195974.04231596,151746,37,1,-991,16,-13,1,117,229,-550,0
1437195974.47535992,152027,33,-3,-993,14,-15,1,117,228,-548,0
1437195974.82156396,152308,34,1,-994,18,-18,0,117,227,-550,0
1437195975.08459997,152589,38,-12,-997,20,-17,8,116,231,-547,0
1437195975.43005991,152871,37,-11,-1001,14,-21,5,115,228,-541,0
1437195975.67097187,153153,36,-1,-996,13,-18,1,116,226,-548,0
1437195975.89302397,153434,42,-12,-998,16,-22,2,116,230,-547,0
1437195976.30613589,153716,36,-12,-991,12,-11,0,117,225,-545,0
1437195976.53329182,153997,33,-9,-1003,15,-11,8,115,229,-543,0
1437195976.88029194,154278,38,-12,-997,14,-20,5,117,228,-549,0
1437195977.30651593,154559,48,-2,-991,22,-12,11,115,231,-547,0
1437195977.54459596,154840,35,1,-986,13,-11,9,116,229,-545,0
1437195977.79379201,155121,39,-2,-999,11,-15,4,117,228,-549,0
1437195978.14981604,155403,35,-6,-993,13,-19,12,116,228,-550,0
1437195978.43792796,155684,33,-9,-996,7,-13,2,117,228,-546,0
1437195978.68310404,156006,34,-1,-1006,15,-10,11,116,230,-548,0
1437195978.99729204,156328,35,2,-998,19,-15,2,117,228,-549,0
1437195979.41288400,156649,43,1,-996,13,-15,6,115,229,-546,0
1437195979.63651991,157011,36,-6,-994,12,-3,6,117,228,-542,0
1437195979.99660397,157373,38,-10,-1004,13,-21,5,117,227,-545,0
1437195980.26501203,157735,36,-4,-991,19,-12,9,117,227,-549,0
1437195980.54484391,158096,38,-2,-998,10,-17,6,116,228,-543,0
1437195980.85715985,158458,38,-2,-998,11,-17,1,115,230,-546,0
1437195981.22618794,158819,44,-13,-997,20,-14,10,114,230,-546,0
1437195981.70330000,159183,39,-5,-989,9,-8,5,117,228,-550,0
1437195982.13057995,159545,36,-5,-992,12,-20,6,115,231,-547,0
1437195982.46860790,159906,46,-7,-987,20,-20,3,116,231,-546,0
1437195982.88177204,160268,31,-5,-1008,14,-11,4,117,227,-549,0
1437195983.13397598,160629,40,-3,-995,16,-18,8,115,232,-547,0
1437195983.38513589,160991,37,-2,-997,15,-11,2,115,230,-544,0
1437195983.67030382,161353,34,2,-994,17,-14,10,117,226,-543,0
1437195984.02364397,161714,34,-5,-1000,14,-11,1,116,229,-549,0
1437195984.43649197,162076,40,-9,-991,16,-16,3,118,226,-544,0
1437195984.74463987,162417,41,-2,-1000,15,-11,2,116,227,-544,0
1437195985.09773993,162739,44,0,-994,18,-23,3,116,229,-548,0
1437195985.42990398,163061,42,-5,-999,15,-11,3,117,226,-547,0
1437195985.98646784,163382,42,-7,-1000,16,-19,3,117,227,-548,0
1437195986.33152795,163704,41,-7,-1003,14,-14,3,118,227,-550,0
1437195986.71651983,164026,43,-7,-984,19,-22,9,116,230,-546,0
1437195987.03594804,164347,39,-10,-996,13,-11,7,116,229,-548,0
1437195987.29668403,164669,39,-9,-992,13,-14,7,117,228,-549,0
1437195987.64317989,164990,36,-8,-990,15,-16,6,116,231,-546,0
1437195988.06820393,165312,35,3,-1006,16,-14,2,117,225,-544,0
1437195988.32321596,165633,37,-5,-997,16,-22,10,115,228,-540,0
1437195988.67833996,165955,44,-13,-994,13,-14,9,114,233,-547,0
1437195989.05257583,166276,41,-1,-995,20,-15,8,117,225,-545,0
1437195989.27094793,166598,42,-3,-993,19,-19,10,116,229,-541,0
1437195989.51958799,166919,36,-12,-981,17,-15,5,116,231,-546,0
1437195989.80019188,167282,30,-7,-996,11,-12,1,116,228,-545,0
1437195989.99892402,167643,42,2,-994,13,-20,3,115,230,-545,0
1437195990.37008405,168006,34,-10,-1000,19,-15,9,115,230,-545,0
1437195990.75113583,168367,37,-9,-1004,16,-13,7,117,230,-547,0
1437195991.17738390,168730,41,-6,-993,19,-19,4,117,227,-550,0
1437195991.43351603,169092,39,-4,-990,10,-20,6,117,228,-550,0
1437195991.78771996,169453,45,-10,-995,14,-11,7,116,227,-545,0
1437195992.14069200,169816,39,0,-993,14,-17,3,117,226,-544,0
1437195992.48130393,170178,39,-10,-994,16,-16,3,117,230,-549,0
1437195992.82127190,170499,46,-4,-989,15,-15,10,116,230,-542,0
1437195993.23554397,170821,41,-1,-988,18,-18,10,118,225,-543,0
1437195993.71237183,171143,37,-1,-996,20,-14,9,117,229,-550,0
1437195994.06363583,171464,36,-1,-981,18,-16,10,117,225,-549,0
1437195994.40982795,171785,44,-3,-995,14,-15,12,117,227,-548,0
1437195994.64927197,172108,37,-8,-990,15,-17,2,118,229,-549,0
1437195994.86985588,172429,43,0,-988,15,-20,3,117,227,-548,0
1437195995.14592004,172749,35,2,-1001,17,-14,11,117,226,-544,0
1437195995.41921997,173071,44,-9,-999,17,-17,9,115,229,-545,0
1437195995.73636389,173392,48,-4,-996,14,-12,10,117,229,-550,0
1437195996.03950000,173715,46,-1,-1006,16,-10,10,115,228,-548,0
1437195996.39753199,174037,39,-1,-994,18,-19,2,116,228,-540,0
1437195996.65897202,174358,41,-11,-999,10,-15,8,117,226,-549,0
1437195997.07392788,174679,32,0,-1000,20,-13,8,116,231,-546,0
1437195997.39191198,175000,39,-1,-993,17,-16,7,116,229,-541,0
1437195997.63789988,175322,44,-3,-993,16,-19,5,117,228,-545,0
1437195998.00023198,175644,41,-10,-992,20,-16,9,115,230,-545,0
1437195998.41441989,175925,39,-4,-992,12,-23,2,115,230,-543,0
1437195998.82754397,176207,41,-4,-994,16,-10,9,116,229,-549,0
1437195999.19482803,176488,40,-10,-1003,19,-19,7,116,227,-549,0
1437195999.46153188,176769,38,-6,-993,17,-18,4,116,229,-548,0
1437195999.75857997,177051,37,-4,-993,17,-11,8,115,230,-542,0
1437196000.13019991,177332,38,-11,-995,12,-19,7,117,228,-549,0
1437196000.49639583,177614,42,-2,-993,14,-15,3,115,231,-545,0
1437196000.73528790,177936,38,-11,-997,18,-15,2,116,230,-546,0
1437196001.10559201,178257,37,-6,-997,18,-19,2,117,224,-544,0
1437196001.32561588,178579,40,-12,-996,19,-10,3,116,228,-545,0
1437196001.56767201,178900,38,-1,-996,16,-14,4,116,228,-548,0
1437196001.79487586,179263,36,-8,-1000,12,-21,1,117,224,-544,0
1437196002.15304399,179624,38,-1,-1001,17,-18,8,116,230,-543,0
1437196002.40815997,179986,45,-2,-995,15,-21,6,116,230,-546,0
1437196002.82518387,180348,36,-9,-993,16,-13,3,118,228,-549,0
1437196003.18740797,180709,41,-8,-1001,15,-21,2,117,231,-545,0
1437196003.44655585,181071,33,4,-992,14,-16,13,115,230,-544,0
1437196004.00329590,181433,35,-2,-995,19,-21,3,116,227,-549,0
1437196004.34794784,181795,45,-3,-995,15,-15,3,115,229,-546,0
1437196004.73423600,182156,48,-5,-998,18,-14,13,117,227,-545,0
1437196005.05115199,182517,44,-4,-983,17,-23,3,118,226,-544,0
1437196005.31446004,182879,39,-4,-995,19,-5,11,117,228,-549,0
1437196005.59554005,183240,40,-5,-1001,18,-19,15,117,227,-546,0
1437196005.97362399,183602,28,-9,-997,13,-20,5,116,228,-540,0
1437196006.28073597,183964,44,-9,-1006,13,-18,0,114,230,-546,0
1437196006.69396782,184326,43,-10,-1008,19,-22,8,117,227,-550,0
1437196007.00794792,184687,31,-6,-992,11,-15,1,117,229,-547,0
1437196007.37517595,185048,42,-2,-1000,16,-13,6,116,231,-546,0
1437196007.95530391,185409,39,0,-985,17,-25,7,117,227,-547,0
1437196008.20362782,185770,40,-2,-992,17,-19,9,117,227,-548,0
1437196008.55668783,186133,40,-6,-992,19,-20,11,116,229,-547,0
1437196009.02982402,186495,38,1,-1003,12,-15,4,117,227,-547,0
1437196009.45308399,186856,45,-15,-995,16,-11,10,116,227,-543,0
1437196009.86320400,187218,48,-10,-990,14,-16,0,117,228,-547,0
1437196010.21432400,187580,35,1,-994,19,-17,7,116,229,-541,0
1437196010.64050794,187942,42,-11,-995,16,-24,5,118,225,-544,0
1437196010.89864397,188304,35,-14,-989,15,-15,5,116,228,-549,0
1437196011.11975598,188666,40,-10,-990,19,-18,4,116,230,-546,0
1437196011.39891982,189027,40,-1,-996,16,-20,2,117,230,-545,0
1437196011.72801590,189389,37,-9,-1000,17,-19,11,116,227,-548,0
1437196012.08007598,189750,39,-2,-1005,16,-13,10,114,230,-544,0
1437196012.49325204,190112,39,-3,-997,15,-15,6,115,231,-546,0
1437196012.83768797,190474,47,-6,-998,14,-21,1,117,227,-548,0
1437196013.11554003,190795,38,4,-995,14,-17,4,118,228,-544,0
1437196013.59281993,191117,41,-8,-994,17,-20,5,116,229,-541,0
