timestamp,GLOBAL_POSITION_INT.time_boot_ms,GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon,GLOBAL_POSITION_INT.alt,GLOBAL_POSITION_INT.relative_alt,GLOBAL_POSITION_INT.vx,GLOBAL_POSITION_INT.vy,GLOBAL_POSITION_INT.vz,GLOBAL_POSITION_INT.hdg
1437195955.71761584,133027,-352081095,1490435200,1740,1740,-28,-22,2,31812
1437195956.07438397,133429,-352081098,1490435204,1760,1760,-29,-23,3,31812
1437195956.31679201,133629,-352081086,1490435208,1760,1760,-29,-23,3,31813
1437195956.54784799,134031,-352081087,1490435209,1760,1760,-29,-23,2,31812
1437195956.90208387,134232,-352081087,1490435214,1750,1750,-29,-23,2,31811
1437195957.16809201,134633,-352081061,1490435211,1750,1750,-28,-23,2,31811
1437195957.57520795,135035,-352081067,1490435209,1760,1760,-28,-23,2,31811
1437195957.98937988,135236,-352081077,1490435215,1760,1760,-28,-23,2,31812
1437195958.30887198,135638,-352081088,1490435220,1780,1780,-29,-23,2,31811
1437195958.65755200,135840,-352081074,1490435221,1770,1770,-29,-23,2,31810
1437195959.07281184,136241,-352081069,1490435220,1760,1760,-28,-23,1,31809
1437195959.38398790,136643,-352081069,1490435224,1770,1770,-28,-23,1,31810
1437195959.63322783,136845,-352081056,1490435217,1760,1760,-28,-24,1,31810
1437195959.87015200,137227,-352081045,1490435211,1750,1750,-28,-25,0,31809
1437195960.26934791,137428,-352081039,1490435208,1720,1720,-28,-24,0,31808
1437195960.68340397,137830,-352081031,1490435209,1710,1710,-27,-23,-1,31809
1437195961.09671998,138232,-352081037,1490435204,1690,1690,-26,-23,-1,31809
1437195961.34990001,138433,-352081034,1490435199,1690,1690,-27,-23,0,31809
1437195961.73299599,138836,-352081035,1490435195,1690,1690,-27,-24,0,31809
1437195962.01909590,139038,-352081037,1490435192,1690,1690,-26,-23,0,31808
1437195962.34631205,139419,-352081016,1490435182,1700,1700,-25,-23,0,31808
1437195962.70234799,139821,-352081017,1490435185,1690,1690,-26,-23,0,31808
1437195963.11556792,140223,-352081008,1490435184,1690,1690,-26,-23,0,31807
1437195963.35078382,140625,-352081001,1490435185,1680,1680,-26,-23,0,31807
1437195963.59578800,140826,-352080987,1490435185,1690,1690,-26,-23,0,31808
1437195964.08895588,141228,-352080970,1490435183,1680,1680,-25,-23,0,31805
1437195964.42423201,141630,-352080982,1490435187,1680,1680,-26,-23,0,31805
1437195964.72973990,142032,-352080978,1490435195,1710,1710,-25,-22,1,31802
1437195965.07748795,142434,-352080970,1490435194,1700,1700,-25,-22,0,31803
1437195965.39163184,142635,-352080964,1490435193,1740,1740,-25,-22,2,31803
1437195965.63759589,143037,-352080959,1490435194,1740,1740,-25,-21,2,31803
1437195966.16097188,143419,-352080960,1490435198,1750,1750,-26,-22,2,31804
1437195966.49497199,143821,-352080958,1490435201,1720,1720,-25,-21,1,31804
1437195966.89324784,144243,-352080952,1490435204,1710,1710,-25,-21,0,31805
1437195967.30732393,144424,-352080937,1490435202,1710,1710,-25,-22,0,31803
1437195967.72156787,144826,-352080928,1490435207,1700,1700,-25,-21,0,31802
1437195967.97473598,145229,-352080940,1490435218,1700,1700,-26,-22,0,31801
1437195968.23968387,145630,-352080922,1490435217,1690,1690,-26,-22,0,31799
1437195968.49499202,146033,-352080898,1490435216,1680,1680,-27,-22,0,31801
1437195968.97502804,146234,-352080901,1490435213,1690,1690,-26,-22,1,31801
1437195969.32615995,146635,-352080901,1490435209,1680,1680,-26,-21,0,31801
1437195969.59349990,147038,-352080887,1490435202,1700,1700,-26,-21,1,31802
