timestamp,SCALED_PRESSURE.time_boot_ms,SCALED_PRESSURE.press_abs,SCALED_PRESSURE.press_diff,SCALED_PRESSURE.temperature,SCALED_PRESSURE.temperature_press_diff
1437195927.90108395,103656,960.67138671875,-0.22046874463558197,3191,0
1437195928.18114400,104379,960.688720703125,-0.203125,3198,0
1437195928.58630800,105223,960.6828002929688,-0.20906250178813934,3204,0
1437195928.83744383,106186,960.683349609375,-0.20851561427116394,3213,0
1437195929.51491594,107191,960.6814575195312,-0.2103906273841858,3221,0
1437195930.44112396,108115,960.699951171875,-0.19187499582767487,3229,0
1437195931.34733605,108959,960.6714477539062,-0.22039061784744263,3235,0
1437195932.17269588,109723,960.6856689453125,-0.20617187023162842,3242,0
1437195932.78797984,110486,960.668701171875,-0.22312499582767487,3246,0
1437195933.61934805,111249,960.681640625,-0.2102343738079071,3253,0
1437195934.23724389,111932,960.7012329101562,-0.19062499701976776,3259,0
1437195934.85870790,112534,960.6942138671875,-0.19765624403953552,3264,0
1437195935.47806382,113136,960.6942749023438,-0.19757811725139618,3268,0
1437195936.00119591,113659,960.6985473632812,-0.19328124821186066,3271,0
1437195936.51245999,114181,960.698486328125,-0.193359375,3276,0
1437195937.03473592,114625,960.7042236328125,-0.1876562386751175,3280,0
1437195937.44786787,115067,960.6798706054688,-0.21195311844348907,3282,0
1437195937.76893592,115468,960.6824951171875,-0.20937499403953552,3286,0
1437195938.29318404,115870,960.6998901367188,-0.1919531226158142,3290,0
1437195938.57636786,116273,960.6813354492188,-0.21054686605930328,3292,0
1437195938.99356389,116635,960.7048950195312,-0.1869531273841858,3296,0
1437195939.34354401,116997,960.6856689453125,-0.20617187023162842,3298,0
1437195939.75181603,117359,960.6956787109375,-0.1961718648672104,3300,0
1437195940.05795598,117720,960.6914672851562,-0.20039062201976776,3303,0
1437195940.44219995,118082,960.7113037109375,-0.1805468648672104,3307,0
1437195940.75823188,118403,960.6970825195312,-0.1947656273841858,3310,0
