timestamp,POWER_STATUS.Vcc,POWER_STATUS.Vservo,POWER_STATUS.flags
1437195996.07381988,5183,5527,3
1437195996.39970803,5162,5542,3
1437195996.69164801,5182,5527,3
1437195997.10781598,5170,5546,3
1437195997.41583991,5172,5527,3
1437195997.68714786,5172,5530,3
1437195998.10337996,5162,5522,3
1437195998.51736784,5162,5532,3
1437195998.96271205,5169,5532,3
1437195999.24768400,5138,5525,3
1437195999.48572397,5182,5525,3
1437195999.76187992,5149,5530,3
1437196000.21417999,5169,5527,3
1437196000.52124405,5153,5527,3
1437196000.75924397,5149,5527,3
1437196001.11855984,5156,5520,3
1437196001.35051990,5143,5522,3
1437196001.59279990,5138,5522,3
1437196001.85984397,5175,5542,3
1437196002.19494796,5136,5532,3
1437196002.45314789,5136,5527,3
1437196002.86650395,5177,5530,3
1437196003.21150398,5182,5527,3
1437196003.45944786,5143,5527,3
1437196004.10598803,5194,5525,3
1437196004.36092401,5175,5549,3
1437196004.76695204,5146,5530,3
1437196005.07514405,5162,5530,3
1437196005.37839985,5190,5530,3
1437196005.60913205,5170,5534,3
1437196006.03360796,5144,5525,3
1437196006.38560390,5149,5532,3
1437196006.70723200,5169,5527,3
1437196007.04100800,5156,5537,3
1437196007.38802004,5149,5522,3
1437196007.95723200,5169,5525,3
1437196008.24694800,5175,5527,3
1437196008.65963984,5169,5530,3
1437196009.18287587,5130,5532,3
1437196009.51854801,5182,5530,3
1437196009.90320396,5182,5525,3
1437196010.34934402,5156,5527,3
1437196010.66444802,5143,5530,3
1437196010.91149187,5170,5527,3
1437196011.18168402,5157,5530,3
1437196011.42377186,5182,5532,3
1437196011.74467182,5162,5530,3
1437196012.18611598,5194,5530,3
1437196012.59821200,5149,5530,3
1437196012.85032392,5169,5530,3
1437196013.22059584,5169,5525,3
1437196013.63473201,5169,5530,3
1437196014.16091585,5162,5527,3
1437196014.39441204,5169,5527,3
1437196014.63214397,5143,5532,3
1437196014.90636396,5182,5544,3
1437196015.24946404,5169,5530,3
1437196015.49556398,5149,5527,3
1437196015.90868783,5182,5530,3
