timestamp,ATTITUDE.time_boot_ms,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.yaw,ATTITUDE.rollspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed
1437195928.05209994,103657,-0.02157817967236042,0.009506508708000183,-0.7320735454559326,-0.04940974339842796,0.02832585945725441,-0.00030915599199943244
1437195928.36618805,104380,-0.02101420797407627,0.009119804948568344,-0.7318764925003052,-0.04873340576887131,0.028565475717186928,-0.0001574623165652156
1437195928.69028783,105223,-0.020963123068213463,0.00921677052974701,-0.7312000393867493,-0.049687255173921585,0.028563007712364197,0.0001285578910028562
1437195928.93245196,106186,-0.02063240297138691,0.008976895362138748,-0.7311663031578064,-0.05053861811757088,0.028080645948648453,9.710370795801282e-05
1437195929.62780786,107191,-0.02032417245209217,0.009332645684480667,-0.7308039665222168,-0.04862702637910843,0.02806706167757511,1.1800521861005109e-05
1437195930.54627204,108115,-0.020391514524817467,0.009325023740530014,-0.7305440306663513,-0.05015295371413231,0.02896919474005699,-0.0006438987911678851
1437195931.54856801,108960,-0.020697668194770813,0.009411562234163284,-0.7301862835884094,-0.0514354333281517,0.028589073568582535,0.001313830609433353
1437195932.26794386,109724,-0.02010936662554741,0.009320534765720367,-0.7300682067871094,-0.052512768656015396,0.0290202796459198,-0.00012049291399307549
1437195933.00407195,110486,-0.02021474950015545,0.009405858814716339,-0.7300105690956116,-0.05117177590727806,0.028356030583381653,-6.415614188881591e-05
1437195933.82050395,111249,-0.02001817338168621,0.008777126669883728,-0.7303147315979004,-0.052014827728271484,0.02995932102203369,0.0006116913282312453
1437195934.37590003,111933,-0.019454319030046463,0.008698999881744385,-0.7305247783660889,-0.05171840637922287,0.02918301336467266,0.0006201564101502299
1437195935.06004000,112535,-0.01972799003124237,0.008818697184324265,-0.7307894825935364,-0.04934097081422806,0.029278595000505447,0.0007459589396603405
1437195935.67917991,113137,-0.019336359575390816,0.008836396038532257,-0.7308650016784668,-0.05097993463277817,0.029787670820951462,3.588994513847865e-05
1437195936.10236788,113660,-0.019101442769169807,0.008611109107732773,-0.7305774092674255,-0.0530000664293766,0.02907872572541237,-0.001149155548773706
1437195936.71257591,114181,-0.019281156361103058,0.009067893028259277,-0.7306586503982544,-0.05155617371201515,0.02944002114236355,0.0017568926559761167
1437195937.13581586,114625,-0.019026299938559532,0.008719641715288162,-0.7306894063949585,-0.0546874925494194,0.029694247990846634,-0.00019539047207217664
